country	country_code	ETS information	main activity sector name	unit	value	year
Austria	AT	4.3 Surrendered emission reduction units (ERUs)	28 Production or processing of non-ferrous metals	tonne of CO2 equ.	0	2011
Austria	AT	4.3 Surrendered emission reduction units (ERUs)	28 Production or processing of non-ferrous metals	tonne of CO2 equ.	0	2012
Austria	AT	1.1 Freely allocated allowances	29 Production of cement clinker	tonne of CO2 equ.	2810835	2006
Austria	AT	1.1 Freely allocated allowances	29 Production of cement clinker	tonne of CO2 equ.	2787054	2014
Austria	AT	1.1 Freely allocated allowances	29 Production of cement clinker	tonne of CO2 equ.	2736948	2015
Austria	AT	1.1.1 Free allocation to existing entities (Art. 10a(1))	29 Production of cement clinker	tonne of CO2 equ.	2755179	2005
Austria	AT	1.1.1 Free allocation to existing entities (Art. 10a(1))	29 Production of cement clinker	tonne of CO2 equ.	2800310	2013
Austria	AT	1.1.1 Free allocation to existing entities (Art. 10a(1))	29 Production of cement clinker	tonne of CO2 equ.	2751398	2014
Austria	AT	1.1.1 Free allocation to existing entities (Art. 10a(1))	29 Production of cement clinker	tonne of CO2 equ.	2601443	2017
Austria	AT	1.1.1 Free allocation to existing entities (Art. 10a(1))	29 Production of cement clinker	tonne of CO2 equ.	2550463	2018
Austria	AT	1.1.1 Free allocation to existing entities (Art. 10a(1))	29 Production of cement clinker	tonne of CO2 equ.	2358961	2022
Austria	AT	1.1.2 Free allocation from the new entrants reserve (Art. 10a(7))	29 Production of cement clinker	tonne of CO2 equ.	32499	2019
